X,Y,ADDRESS,COUNTRY,STATE,CITY,Codigo_Pos,Coordenada,Coordena_1,GAS,NAS,BLOQ,Asignacion,Recuperaci,% GAS,% NAS,% BLOQ,% ASIG,% RECP,result_num,status,formatted_,place_id,location_t,latlong,icon_url
-99.1850598,19.4860437,"Azcapotzalco,CP 02010,CDMX México",México,CDMX,Azcapotzalco,"02010","-99.1878421","19.4898527","564","450","114","187","34","100","79.79","20.21","33.16","6.03","0",OK,"Nuevo San Rafael, 02010 Ciudad de México, CDMX, Mexico",ChIJz6s7g3n40YURFQ890A0SD7o,APPROXIMATE,"19.4860437,-99.18505979999999",./0.png
-99.1774462,19.485694,"Azcapotzalco,CP 02020,CDMX México",México,CDMX,Azcapotzalco,"02020","-99.1841713","19.4899542","550","462","88","257","38","100","84.00","16.00","46.73","6.91","0",OK,"Santo Tomas, 02020 Ciudad de México, CDMX, Mexico",ChIJW5DYPXv40YURKz3txUhlNqE,APPROXIMATE,"19.485694,-99.17744619999999",./0.png
-99.1781383,19.4805023,"Azcapotzalco,CP 02040,CDMX México",México,CDMX,Azcapotzalco,"02040","-99.1757399","19.4791113","280","238","42","121","19","100","85.00","15.00","43.21","6.79","0",OK,"San Sebastian, 02040 Ciudad de México, CDMX, Mexico",ChIJ5cEoKGP40YURASk_b12QevM,APPROXIMATE,"19.4805023,-99.1781383",./0.png
-99.1809068,19.4774151,"Azcapotzalco,CP 02050,CDMX México",México,CDMX,Azcapotzalco,"02050","-99.1818424","19.4793368","392","316","76","206","35","100","80.61","19.39","52.55","8.93","0",OK,"Sta Maria Maninalco, 02050 Ciudad de México, CDMX, Mexico",ChIJg8xj8Yf40YURkL4WbisgGKo,APPROXIMATE,"19.4774151,-99.1809068",./0.png
-99.1774462,19.4739077,"Azcapotzalco,CP 02060,CDMX México",México,CDMX,Azcapotzalco,"02060","-99.18053","19.47332","258","234","24","66","10","100","90.70","9.30","25.58","3.88","0",OK,"Sindicato Mexicano de Electricistas, 02060 Ciudad de México, CDMX, Mexico",ChIJn5ZcmYj40YURN6swUtb9z1w,APPROXIMATE,"19.4739077,-99.17744619999999",./0.png
-99.185752,19.4734857,"Azcapotzalco,CP 02070,CDMX México",México,CDMX,Azcapotzalco,"02070","-99.18576","19.47312","602","530","72","244","35","100","88.04","11.96","40.53","5.81","0",OK,"Nextengo, 02070 Ciudad de México, CDMX, Mexico",ChIJ5WS3NYH40YURBAqT0WQtHO8,APPROXIMATE,"19.4734857,-99.185752",./0.png
-99.1802147,19.4649276,"Azcapotzalco,CP 02080,CDMX México",México,CDMX,Azcapotzalco,"02080","-99.1780887","19.4659484","706","648","58","138","25","100","91.78","8.22","19.55","3.54","0",OK,"Naval, 02080 Ciudad de México, CDMX, Mexico",ChIJkWkwIpv40YURHTOD4xhi_tA,APPROXIMATE,"19.4649276,-99.1802147",./0.png
-99.1836755,19.4610688,"Azcapotzalco,CP 02090,CDMX México",México,CDMX,Azcapotzalco,"02090","-99.1450623","19.6613669","178","150","28","122","18","100","84.27","15.73","68.54","10.11","0",OK,"San Alvaro, 02090 Ciudad de México, CDMX, Mexico",ChIJ6-pc7pv40YURx_s1OF4JYRs,APPROXIMATE,"19.4610688,-99.18367549999999",./0.png
-99.189213,19.4681535,"Azcapotzalco,CP 02099,CDMX México",México,CDMX,Azcapotzalco,"02099","-99.18881","19.46854","113","103","10","80","13","100","91.15","8.85","70.80","11.50","0",OK,"Ángel Zimbrón, 02099 Ciudad de México, CDMX, Mexico",ChIJ0cCxl4L40YURS-drfrfzPm4,APPROXIMATE,"19.4681535,-99.189213",./0.png
-99.2037508,19.5094012,"Azcapotzalco,CP 02100,CDMX México",México,CDMX,Azcapotzalco,"02100","-99.2039881","19.507625","1264","1121","143","845","149","100","88.69","11.31","66.85","11.79","0",OK,"El Rosario, 02100 Ciudad de México, CDMX, Mexico",ChIJb0eNRbsC0oURTyCEBXD5htE,APPROXIMATE,"19.5094012,-99.2037508",./0.png
-99.1940586,19.5025286,"Azcapotzalco,CP 02120,CDMX México",México,CDMX,Azcapotzalco,"02120","-99.1983076","19.5057434","479","403","76","396","63","100","84.13","15.87","82.67","13.15","0",OK,"San Martin Xochinahuac, 02120 Ciudad de México, CDMX, Mexico",ChIJk3kibqAC0oURzJeh3A18GqU,APPROXIMATE,"19.5025286,-99.19405859999999",./0.png
-99.189213,19.5005654,"Azcapotzalco,CP 02128,CDMX México",México,CDMX,Azcapotzalco,"02128","-99.184869","19.50109","25","19","6","32","3","100","76.00","24.00","128.00","12.00","0",OK,"Nueva Rosario, 02128 Ciudad de México, CDMX, Mexico",ChIJkSX5UXX40YURfjp9s8JcBgQ,APPROXIMATE,"19.5005654,-99.189213",./0.png
-99.1874825,19.4980752,"Azcapotzalco,CP 02129,CDMX México",México,CDMX,Azcapotzalco,"02129","-99.1870066","19.44658","53","43","10","61","6","100","81.13","18.87","115.09","11.32","0",OK,"Nueva España, 02129 Ciudad de México, CDMX, Mexico",ChIJIxlgq3X40YURRUdsKO8vEpw,APPROXIMATE,"19.4980752,-99.1874825",./0.png
-99.2006354,19.4996153,"Azcapotzalco,CP 02130,CDMX México",México,CDMX,Azcapotzalco,"02130","-99.2032857","19.5037044","64","51","13","96","13","100","79.69","20.31","150.00","20.31","0",OK,"Tierra Nueva, 02130 Ciudad de México, CDMX, Mexico",ChIJcTqWjJcC0oURIhzeAE41sYs,APPROXIMATE,"19.4996153,-99.2006354",./0.png
-99.1905974,19.4946017,"Azcapotzalco,CP 02140,CDMX México",México,CDMX,Azcapotzalco,"02140","-99.1911643","19.4940464","54","46","8","78","10","100","85.19","14.81","144.44","18.52","0",OK,"Sta Ines, 02140 Ciudad de México, CDMX, Mexico",ChIJO9vY350C0oUROY8nQ_FOSww,APPROXIMATE,"19.4946017,-99.1905974",./0.png
-99.1961354,19.4943198,"Azcapotzalco,CP 02150,CDMX México",México,CDMX,Azcapotzalco,"02150","-99.19648","19.49388","173","150","23","163","31","100","86.71","13.29","94.22","17.92","0",OK,"Pasteros, 02150 Ciudad de México, CDMX, Mexico",ChIJmUBk85sC0oURswqOuujPDsg,APPROXIMATE,"19.4943198,-99.19613539999999",./0.png
-99.1905974,19.4887086,"Azcapotzalco,CP 02160,CDMX México",México,CDMX,Azcapotzalco,"02160","-99.1910029","19.4865259","135","125","10","87","14","100","92.59","7.41","64.44","10.37","0",OK,"Santo Domingo, 02160 Ciudad de México, CDMX, Mexico",ChIJn59A6oIC0oURbffCZ2Aei5E,APPROXIMATE,"19.4887086,-99.1905974",./0.png
-99.1878286,19.4947426,"Azcapotzalco,CP 02200,CDMX México",México,CDMX,Azcapotzalco,"02200","-99.1848651","19.4963897","177","147","30","153","27","100","83.05","16.95","86.44","15.25","0",OK,"Reynosa Tamaulipas, 02200 Ciudad de México, CDMX, Mexico",ChIJE9CgX3b40YURUGek-nNtR3A,APPROXIMATE,"19.4947426,-99.18782859999999",./0.png
-99.1802147,19.5002866,"Azcapotzalco,CP 02230,CDMX México",México,CDMX,Azcapotzalco,"02230","-99.1807748","19.4971262","281","233","48","317","50","100","82.92","17.08","112.81","17.79","0",OK,"Santa Barbara, 02230 Ciudad de México, CDMX, Mexico",ChIJ1xkjnnL40YURIVpC6dd3d0s,APPROXIMATE,"19.5002866,-99.1802147",./0.png
